"AWAY_2PA"	"AWAY_2PM"	"AWAY_3PA"	"AWAY_3PM"	"AWAY_FTA"	"AWAY_FTM"	"AWAY_TO"	"AWAY_ORB"	"AWAY_DRB"	"HOME_2PA"	"HOME_2PM"	"HOME_3PA"	"HOME_3PM"	"HOME_FTA"	"HOME_FTM"	"HOME_TO"	"HOME_ORB"	"HOME_DRB"	"WINNER"
"1"	64	32	13	4	28	18	13	7	28	56	25	22	5	23	14	18	10	22	"A"
"2"	68	31	13	0	13	9	17	15	34	57	30	12	5	44	33	19	14	26	"H"
"3"	60	19	24	10	14	8	14	13	31	50	30	18	7	21	14	24	7	31	"H"
"4"	60	29	18	3.5	22.5	18	20.5	9.5	34	62	28	25	4	27	17	15	17	28	"H"
"5"	61	29.5	16	6.5	23	18	19.5	13.5	24	62	33	25	9	37	27	15	14	32	"A"
"6"	76	23	8	2	30	28	21	13	31	60	32	23.5	6	29	21	14	16	26.5	"H"
"7"	53	26.5	18.5	6	26	17.5	20	7.5	31	68	31	16	4	34	28	9	10	30	"A"
"8"	61	28	24	9	35.5	23.5	18	15.5	28	63	28	13	2	30	24	10	8	34	"H"
"9"	59.6666666666667	30.6666666666667	17	4	23	18.6666666666667	17.6666666666667	8.33333333333333	30	74	37	12.5	3.5	23.5	15.5	19	18	41	"H"
"10"	58	23	20	4	35	21	24	17	35	58	22.5	18.5	5.5	28	24	15	10.5	36	"A"
"11"	67	32	16	5	20	16	12	7	31	65	35	15	5	19	13	7	7	31	"A"
"12"	64	33	15	6	27	19	10	9	30	63	29	20	6	28	21	17	16	29	"A"
"13"	66	33	20	5	31	18	15	18	35	63	29	13	7	29	25	14	9	27	"A"
"14"	61.5	30	16	3.5	31	20.5	20.5	15.5	33.5	76	33.5	4.5	1	25.5	17.5	16.5	16	26.5	"A"
"15"	62	22	12	3	31	26	13	14	20	53.5	25.5	30.5	10.5	27.5	20.5	15.5	12.5	31	"H"
"16"	74.5	28	10.5	3.5	24	20	19.5	12	33	50	28	22	7	29	19	15	13	33	"H"
"17"	68	33.5	13	3.5	34	26	15.5	11	36.5	59	27	23	9	32	22	14	11	28	"H"
"18"	68	34	16	8	11	9	8	16	26	66	34	12	6	30	26	14	6	30	"A"
"19"	64	26	9	3	20	18	18	11	32	69	30	10	7	18	15	15	9	40	"H"
"20"	69	29	16	6	14	12	18	15	33	64	30	17	8	32	19	14	13	29	"H"
"21"	57	32	16.5	9	25	17.5	15	6.5	33	59	27	22	6	27	23	13	12	36	"A"
"22"	59.5	23.5	23	9.5	14	10.5	12.5	11	25	75	38	8.5	2	25	17.5	11.5	13.5	31	"H"
"23"	52	29	16	9	15	14	14	5	26	71.5	34.5	11.5	2	23	16.5	13.5	10.5	30.5	"A"
"24"	66	37	13	4	25	23	8	5	19	68	33	13	3	19	12	15	9	30	"H"
"25"	65	31	14	7	32	29	11	8	37	65	32	17	6	24	18	6	13	24	"H"
"26"	63	25.5	15.5	5.5	20	18	22	13	33	57.6666666666667	29.3333333333333	24.6666666666667	7	29.6666666666667	21	15.6666666666667	16	28.6666666666667	"H"
"27"	65.5	34	16.5	6	12.5	10.5	9.5	8	33.5	52	26	22	8	30	21	19	3	35	"H"
"28"	70.5	35	14	5.5	16.5	14	7.5	13	29.5	62	25	21	6.5	27	22	16	14	26	"H"
"29"	65.5	31	13	6.5	27.5	24	9.5	6.5	34	63.3333333333333	27.3333333333333	19	4.66666666666667	25.6666666666667	16.3333333333333	17	12.6666666666667	27.3333333333333	"A"
"30"	55	29	12	4	29	24	22	5	33	58.5	30	18.5	6	31	23.5	14	12	34	"H"
"31"	61.6666666666667	26.6666666666667	14	4.66666666666667	23.6666666666667	16.6666666666667	17.3333333333333	12.6666666666667	28.6666666666667	66.5	33.5	19.5	5.5	34	23.5	12	14	28.5	"A"
"32"	60	31.5	22	5.5	30	21.5	12.5	12	25	58.5	29	17.5	6	19.5	13.5	7	7.5	28.5	"A"
"33"	64	30.3333333333333	14.3333333333333	5.66666666666667	25.3333333333333	18	17.6666666666667	12.3333333333333	28.6666666666667	62.5	30	11	2.5	36.5	25.5	18.5	9.5	33	"H"
"34"	65	30	12	3	16	16	14	9	29	64	33	10	6	23	16	19	9	27	"H"
"35"	59.5	29	20.5	10	27.5	20	13.5	9	28.5	53.5	27.5	10.5	4	33.5	24.5	17.5	10	26	"H"
"36"	70	25	28	7	21	16	10	16	27	60	25	21	5	30	20	15	13	28	"A"
"37"	81	34	4	0	12	9	16	5	34	71	37	9.33333333333333	2.66666666666667	24	18.6666666666667	13	13	29.3333333333333	"H"
"38"	58.3333333333333	34	16.3333333333333	7.66666666666667	26.3333333333333	19	15.6666666666667	7	33.6666666666667	61	27	15.5	6.5	37	28.5	16.5	16	29.5	"H"
"39"	56	24	16	9	21.5	18	14.5	6.5	27.5	66	31	25	8	11	9	10	14	27	"H"
"40"	57	27.6666666666667	17	5.66666666666667	28	20	17	11	32	61	29.3333333333333	15.6666666666667	6.33333333333333	32.6666666666667	23.6666666666667	15	14	32	"A"
"41"	60.3333333333333	30.6666666666667	20	6	27.3333333333333	21	11	10.3333333333333	29.3333333333333	57	26	16.5	7	22	18.5	14.5	8.5	27	"H"
"42"	63	29	17.5	5.5	24.5	22.5	12	11.5	26.5	68	33.5	17.5	6	20.5	15.5	9	14.5	28	"H"
"43"	59	31	19	6	18	15	12	5	32	58.5	27.5	23.5	7.5	27	21.5	14.5	10	32	"H"
"44"	58.5	31.5	14.75	6.75	27	20	16.25	6.5	32.25	71	36.5	15	4	22.5	14.5	17	10.5	31.5	"A"
"45"	63	34.5	15.5	3	38	28.5	14	9.5	24.5	57.5	29	24.75	7.5	28.75	19.5	14.25	14.75	30.25	"H"
"46"	57.5	27.5	25	8.5	22	12.5	14.5	15.5	33.5	74.3333333333333	30.6666666666667	7.33333333333333	2.66666666666667	23.3333333333333	16.6666666666667	16	15	28.6666666666667	"A"
"47"	63	29.6666666666667	16.3333333333333	4.66666666666667	28.3333333333333	19.3333333333333	18.3333333333333	14.3333333333333	34.6666666666667	71.5	35	13.5	6	24	20.5	16.5	15	30	"A"
"48"	64	31.3333333333333	22.6666666666667	8.33333333333333	13.6666666666667	11.6666666666667	12	11	33.3333333333333	65.5	28.75	17	4.25	22.75	14.25	15.5	12.25	27.75	"H"
"49"	66	28.6666666666667	22.6666666666667	7	28.3333333333333	19	16	16	29	65	36	14	6.5	23	19	14.5	9.5	28.5	"H"
"50"	64.6666666666667	30	14	6.33333333333333	25.3333333333333	22	10.6666666666667	8.33333333333333	34	66	27.5	16	7.5	31.5	23.5	13.5	12	39.5	"H"
"51"	64.25	29	14.75	4.75	25.25	18	16.25	13.75	31	64	28.5	17	5.5	35	29	15	8.5	33	"H"
"52"	61.3333333333333	26.3333333333333	13.6666666666667	7.33333333333333	21.6666666666667	18	13.6666666666667	6.66666666666667	26.6666666666667	52	25.3333333333333	13	5	32.6666666666667	26	16.6666666666667	10	26.3333333333333	"A"
"53"	67	32	10	0	31	25	10	11	33	52.6666666666667	25.6666666666667	29	11	23	18	17.3333333333333	11.3333333333333	29.6666666666667	"H"
"54"	62.4	27.6	15	4.8	27.8	20.6	17.6	12	31.8	51	31	17.5	6.5	25.5	19.5	18	5.5	31.5	"H"
"55"	58	27	18.5	6	22	15.5	13	7.5	29.5	63.5	31.5	18.5	7	30	20.5	14	12.5	29	"H"
"56"	77	32	6	2.5	21	15.5	15	7.5	30	55.3333333333333	26.6666666666667	26.6666666666667	8.66666666666667	25.3333333333333	19.3333333333333	14	11.6666666666667	33.3333333333333	"H"
"57"	57.6666666666667	23	21.6666666666667	9.66666666666667	18.3333333333333	14.3333333333333	13.6666666666667	12.3333333333333	23.3333333333333	56.8	29.4	24.6	7.6	29	19.6	14	14.2	30.2	"A"
"58"	59.5	27.5	14.5	6.5	21.25	17.25	13.25	6.75	29.25	62.3333333333333	31.3333333333333	13	3	33.3333333333333	24	18.3333333333333	9.33333333333333	33.3333333333333	"H"
"59"	58.6666666666667	25.6666666666667	22.3333333333333	8	25.6666666666667	16.3333333333333	14	14.3333333333333	33	63.75	29.75	15	6	30.25	22.75	14.75	14.75	29.25	"A"
"60"	69.6666666666667	34.6666666666667	13.6666666666667	3	31	24.3333333333333	17	12	35.6666666666667	54.75	25.25	14.25	5	29.25	23	14.75	10.25	26	"A"
"61"	63.6666666666667	29.3333333333333	17.6666666666667	7	24	19.3333333333333	8.33333333333333	12.6666666666667	30.3333333333333	68.3333333333333	36.3333333333333	13.6666666666667	6	26	21.3333333333333	15.3333333333333	10.6666666666667	31.3333333333333	"A"
"62"	65.5	29	18	8	38	28.5	16	14.5	37.5	62	28.5	15.5	3.5	30	24	11.5	9.5	28	"A"
"63"	63.75	29	14.5	5.75	26	18.75	19	12.25	29.5	58	31	19	6.33333333333333	30	23.6666666666667	14.6666666666667	10.3333333333333	30.3333333333333	"H"
"64"	66	29.3333333333333	15.6666666666667	5.33333333333333	24.3333333333333	21	11.6666666666667	12.3333333333333	25.6666666666667	68.3333333333333	33.6666666666667	17	4.33333333333333	37	25.6666666666667	12.3333333333333	13.6666666666667	28.3333333333333	"H"
"65"	64	29	30	10	20	12.5	10	10	29.5	55.6666666666667	26.3333333333333	23.3333333333333	7.66666666666667	17.3333333333333	11.6666666666667	9.33333333333333	9	29.6666666666667	"H"
"66"	66	33.5	12	2.5	24.5	19.5	16	10	33	70.3333333333333	36.3333333333333	12.6666666666667	5.66666666666667	27.3333333333333	18.6666666666667	17.3333333333333	15.6666666666667	35	"A"
"67"	60.5	27.25	21	7.75	28.25	19.25	13	14	32.5	60	30	14.75	3.75	31.75	24	16.5	8.25	33.5	"H"
"68"	64	28.5	15.5	6.5	23.75	19.75	13	10.25	30.5	52.3333333333333	30.3333333333333	18.6666666666667	7	26.3333333333333	21.3333333333333	18.3333333333333	6	31.3333333333333	"A"
"69"	60	31	18.5	7	20	17.5	23	12	29	64.3333333333333	27.3333333333333	18.3333333333333	5.33333333333333	30	24.6666666666667	13.3333333333333	14	29.3333333333333	"A"
"70"	71	32.6666666666667	16.3333333333333	6	34	25.6666666666667	15.6666666666667	16.3333333333333	34.3333333333333	54.3333333333333	25.3333333333333	20	8	24.3333333333333	19.6666666666667	13	9.66666666666667	29	"A"
"71"	62	26.3333333333333	27	9.66666666666667	19	12	11.6666666666667	10	29.6666666666667	66	30	11	3	25.5	19	14	9.5	35	"A"
"72"	40	19	29	10	26	16	19	6	38	75.5	31	7.5	2.5	22.5	16.25	16.25	14.75	30	"A"
"73"	68	27.3333333333333	16	5.33333333333333	17.6666666666667	15.6666666666667	19.3333333333333	14.3333333333333	34.3333333333333	63	31	13.5	6	25.5	22.5	12.5	6	31	"A"
"74"	59	23.75	20.5	9.5	21.75	17.5	11.75	10.5	24.75	57.3333333333333	27.6666666666667	20.6666666666667	8.33333333333333	30.6666666666667	22.3333333333333	13.6666666666667	11.3333333333333	26.6666666666667	"A"
"75"	68	36.5	14.5	7.5	21.5	18.5	13	7	32	73.3333333333333	35	12.6666666666667	4.33333333333333	22.3333333333333	15.3333333333333	15	10.6666666666667	30.3333333333333	"H"
"76"	60	31	16.5	4	21.75	17.75	18.5	8	27.75	64	28.8	17.6	5.2	22.8	15	16	11	29.2	"A"
