"DATE","AWAY_NAME","HOME_NAME","AWAY_2PA","AWAY_2PM","AWAY_3PA","AWAY_3PM","AWAY_FTA","AWAY_FTM","AWAY_TO","AWAY_ORB","AWAY_DRB","HOME_2PA","HOME_2PM","HOME_3PA","HOME_3PM","HOME_FTA","HOME_FTM","HOME_TO","HOME_ORB","HOME_DRB","AWAY_PTS_Q1","HOME_PTS_Q1","AWAY_PTS_Q2","HOME_PTS_Q2","AWAY_PTS_Q3","HOME_PTS_Q3","AWAY_PTS_Q4","HOME_PTS_Q4","AWAY_PTS_FINAL","HOME_PTS_FINAL"
20091027,"BOS","CLE",53,23,19,9,26,22,16,6,32,53,23,17,6,32,25,14,6,26,21,28,51,45,72,65,95,89,95,89
20091027,"HOU","POR",63,25,18,5,29,22,16,10,23,56,23,21,10,22,20,26,12,39,23,23,41,54,56,75,87,96,87,96
20091027,"LAC","LAL",72,36,15,3,16,11,20,15,36,68,31,17,4,37,25,16,17,30,22,32,49,59,75,76,92,99,92,99
20091027,"WAS","DAL",71,35,13,4,24,20,10,9,37,58,26,18,4,34,27,10,11,31,21,21,56,50,77,74,102,91,102,91
20091028,"CHA","BOS",64,23,10,0,25,13,21,14,32,47,22,29,11,19,15,14,10,34,13,22,31,42,41,67,59,92,59,92
20091028,"CLE","TOR",61,20,22,9,37,24,15,13,36,59,29,16,5,37,28,13,7,41,22,27,39,57,71,78,91,101,91,101
20091028,"DET","MEM",56,31,16,6,29,16,9,10,29,60,24,12,2,31,20,16,17,32,24,20,53,41,71,57,96,74,96,74
20091028,"HOU","GS",60,28,26,12,20,16,18,13,28,78,40,11,4,23,15,16,13,28,26,28,52,62,87,81,108,107,108,107
20091028,"IND","ATL",55,29,18,10,25,21,25,6,34,75,39,12,7,29,21,11,8,27,32,29,65,66,94,95,109,120,109,120
20091028,"NJ","MIN",73,34,8,0,29,25,22,14,38,86,33,7,1,35,26,10,18,32,25,21,55,43,78,64,93,95,93,95
20091028,"NO","SA",68,34,10,5,22,13,11,5,28,62,36,24,9,20,14,10,11,31,13,19,39,57,68,88,96,113,96,113
20091028,"NY","MIA",48,23,39,10,21,17,13,12,27,68,40,15,7,17,14,16,7,36,23,27,47,56,62,90,93,115,93,115
20091028,"PHI","ORL",60,32,18,7,30,21,13,8,26,52,29,29,16,17,14,17,8,29,27,29,47,70,69,100,106,120,106,120
20091028,"PHO","LAC",65,34,15,7,27,20,14,10,26,64,37,13,6,27,15,16,7,28,24,31,53,53,77,79,109,107,109,107
20091028,"SAC","OKC",63,29,16,3,28,22,12,10,27,62,31,14,8,20,16,13,8,33,22,39,51,68,68,89,89,102,89,102
20091028,"UTA","DEN",71,31,10,6,29,25,16,10,29,76,38,13,5,30,23,13,14,28,30,23,55,54,80,82,105,114,105,114
20091029,"DEN","POR",50,25,11,3,49,38,8,5,31,62,23,19,5,41,33,7,14,30,24,17,42,43,62,67,97,94,97,94
20091029,"SA","CHI",57,29,21,4,23,15,13,8,36,68,32,16,3,28,19,9,15,37,23,22,46,47,64,74,85,92,85,92
20091030,"CHI","BOS",67,32,15,2,27,20,15,16,20,50,31,24,12,24,20,16,10,32,17,21,35,50,61,88,90,118,90,118
20091030,"CLE","MIN",66,30,18,10,20,14,12,10,33,72,33,14,3,17,12,17,15,32,25,18,57,47,83,68,104,87,104,87
20091030,"DAL","LAL",62,27,15,5,32,25,18,13,33,58,25,23,7,14,9,19,13,27,24,21,52,45,78,60,94,80,94,80
20091030,"GS","PHO",72,30,13,6,28,23,22,9,29,62,33,22,12,34,21,23,9,38,24,28,51,62,73,92,101,123,101,123
20091030,"LAC","UTA",61,28,13,6,34,24,11,3,32,81,43,9,2,25,19,10,12,36,32,34,60,60,84,83,98,111,98,111
20091030,"MIA","IND",62,29,7,1,46,35,15,13,32,56,25,23,4,26,21,16,12,27,28,16,49,47,79,63,96,83,96,83
20091030,"MIL","PHI",62,27,23,7,19,11,20,12,32,52,26,18,6,34,29,19,6,39,18,23,47,41,67,76,86,99,86,99
20091030,"NY","CHA",62,29,36,9,18,15,17,10,40,74,32,18,3,36,29,16,12,43,13,32,37,51,55,69,82,82,100,102
20091030,"OKC","DET",65,31,11,2,30,23,12,9,36,53,21,17,5,34,26,16,9,34,16,24,38,45,62,61,91,83,91,83
20091030,"ORL","NJ",54,31,21,6,25,15,14,9,39,66,26,15,5,25,18,7,7,32,29,24,50,44,75,62,95,85,95,85
20091030,"SAC","NO",72,29,24,7,20,13,12,21,31,57,28,16,5,32,26,11,10,33,27,25,50,50,75,72,92,97,92,97
20091030,"TOR","MEM",66,32,22,7,28,22,15,15,21,73,39,9,3,35,28,17,18,27,22,23,49,53,79,76,107,115,107,115
20091030,"WAS","ATL",66,30,13,5,22,14,15,8,32,58,27,20,5,34,31,13,11,36,24,29,44,58,66,75,89,100,89,100
20091031,"CHA","CLE",55,23,13,6,20,15,19,10,23,46,27,16,9,14,9,19,5,27,21,25,41,45,54,66,79,90,79,90
20091031,"DAL","LAC",70,32,14,3,23,20,12,9,35,58,26,17,6,18,14,21,8,34,23,27,55,55,80,71,93,84,93,84
20091031,"DET","MIL",55,27,16,4,25,19,20,11,26,59,24,19,8,33,24,15,16,29,29,20,49,38,63,74,85,96,85,96
20091031,"NJ","WAS",71,32,9,5,32,25,12,12,20,64,39,14,9,23,18,14,8,28,24,28,51,62,79,99,104,123,104,123
